concentration,growth,rep
0,6.59,Rep 1
1,4.91,Rep 1
2,5.89,Rep 1
5,4.51,Rep 1
11,4.52,Rep 1
25,2.54,Rep 1
50,0.1,Rep 1
0,6.14,Rep 2
1,5.03,Rep 2
2,7.44,Rep 2
5,6.75,Rep 2
11,5.52,Rep 2
25,1.76,Rep 2
50,0,Rep 2
0,7.19,Rep 3
1,6.25,Rep 3
2,6.11,Rep 3
5,5.69,Rep 3
11,3.71,Rep 3
25,0.21,Rep 3
50,0.91,Rep 3
